,endtime,starttime,interval,departing_insect,arriving_insect,sheet_title,timestamp_pd,timestamp_pd_rounded,same_insect,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
27,0 days 14:26:24,0 days 15:10:55,2671000000000,Bombus,Bombus impatiens (F),Jewelweed 09-13-2022 picture bag analysis sheet,2022-09-13 14:26:24,2022-09-13 14:00:00,1,22.0,16.1,69.0,0.0,,290.0,13.0,,1012.0,,3.0
28,0 days 15:11:25,0 days 15:27:25,960000000000,Bombus impatiens (F),Apidae,Jewelweed 09-13-2022 picture bag analysis sheet,2022-09-13 15:11:25,2022-09-13 15:00:00,0,23.0,16.1,65.0,0.0,,310.0,11.2,,1011.0,,3.0
29,0 days 15:27:55,0 days 15:49:25,1290000000000,Apidae,Bee Species,Jewelweed 09-13-2022 picture bag analysis sheet,2022-09-13 15:27:55,2022-09-13 15:00:00,0,23.0,16.1,65.0,0.0,,310.0,11.2,,1011.0,,3.0
30,0 days 15:49:55,0 days 16:14:25,1470000000000,Bee Species,Heteroptera,Jewelweed 09-13-2022 picture bag analysis sheet,2022-09-13 15:49:55,2022-09-13 16:00:00,0,25.0,17.0,61.0,0.0,,280.0,13.0,,1011.0,,3.0
31,0 days 11:54:51,0 days 12:07:21,750000000000,Bombus griseocollis (M),Augochlorini,Swamp Milkweed analysis 08-04-2022 unbagged,2022-08-04 11:54:51,2022-08-04 12:00:00,0,23.0,23.0,100.0,0.0,,0.0,0.0,,1019.0,,1.0
32,0 days 12:07:51,0 days 12:10:51,180000000000,Augochlorini,Bombus griseocollis,Swamp Milkweed analysis 08-04-2022 unbagged,2022-08-04 12:07:51,2022-08-04 12:00:00,0,23.0,23.0,100.0,0.0,,0.0,0.0,,1019.0,,1.0
33,0 days 12:11:21,0 days 12:11:51,30000000000,Bombus griseocollis,Bombus sp.,Swamp Milkweed analysis 08-04-2022 unbagged,2022-08-04 12:11:21,2022-08-04 12:00:00,1,23.0,23.0,100.0,0.0,,0.0,0.0,,1019.0,,1.0
34,0 days 12:12:21,0 days 13:02:21,3000000000000,Bombus sp.,Bombus griseocollis (F),Swamp Milkweed analysis 08-04-2022 unbagged,2022-08-04 12:12:21,2022-08-04 12:00:00,1,23.0,23.0,100.0,0.0,,0.0,0.0,,1019.0,,1.0
35,0 days 13:02:51,0 days 13:31:22,1711000000000,Bombus griseocollis (F),Bombus griseocollis (U),Swamp Milkweed analysis 08-04-2022 unbagged,2022-08-04 13:02:51,2022-08-04 13:00:00,1,28.0,25.0,84.0,0.0,,220.0,7.0,,1019.0,,1.0
36,0 days 13:31:52,0 days 13:44:22,750000000000,Bombus griseocollis (U),Bombus impatiens (F),Swamp Milkweed analysis 08-04-2022 unbagged,2022-08-04 13:31:52,2022-08-04 14:00:00,1,29.0,25.0,79.0,0.0,,220.0,7.0,,1019.0,,1.0
40,0 days 12:12:26,0 days 12:37:56,1530000000000,Bombus impatiens,apoidea,Great Blue Lobelia 08-25-2022 unbagged,2022-08-25 12:12:26,2022-08-25 12:00:00,0,17.0,17.0,100.0,0.0,,0.0,0.0,,1019.0,,1.0
43,0 days 12:17:54,0 days 13:09:55,3121000000000,Bombus impatiens,,Great Blue Lobelia 08-25-2022 picture bag analysis,2022-08-25 12:17:54,2022-08-25 12:00:00,0,17.0,17.0,100.0,0.0,,0.0,0.0,,1019.0,,1.0
41,0 days 12:38:26,0 days 12:39:56,90000000000,apoidea,Poanes zabulon,Great Blue Lobelia 08-25-2022 unbagged,2022-08-25 12:38:26,2022-08-25 13:00:00,0,21.0,21.0,100.0,0.0,,0.0,0.0,,1020.0,,1.0
42,0 days 12:40:56,0 days 13:54:27,4411000000000,Poanes zabulon,Macroglossum stellatarum,Great Blue Lobelia 08-25-2022 unbagged,2022-08-25 12:40:56,2022-08-25 13:00:00,0,21.0,21.0,100.0,0.0,,0.0,0.0,,1020.0,,1.0
44,0 days 13:10:55,0 days 13:20:55,600000000000,,,Great Blue Lobelia 08-25-2022 picture bag analysis,2022-08-25 13:10:55,2022-08-25 13:00:00,1,21.0,21.0,100.0,0.0,,0.0,0.0,,1020.0,,1.0
45,0 days 13:21:25,0 days 13:35:24,839000000000,,Bombus impatiens,Great Blue Lobelia 08-25-2022 picture bag analysis,2022-08-25 13:21:25,2022-08-25 13:00:00,0,21.0,21.0,100.0,0.0,,0.0,0.0,,1020.0,,1.0
